,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_exponent_n_steps,params_gamma,params_lr,params_max_grad_norm,params_net_arch,user_attrs_gamma_,user_attrs_n_steps,state
81,81,429.7,2023-02-16 15:34:11.450595,2023-02-16 15:34:16.453755,0 days 00:00:05.003160,tanh,7,0.0025262258702840206,0.02352266076001224,1.929261731159951,tiny,0.9974737741297159,128,PRUNED
82,82,126.7,2023-02-16 15:34:16.453993,2023-02-16 15:34:21.167649,0 days 00:00:04.713656,tanh,7,0.0033682713528426266,0.009322744899272204,1.6893298280989553,tiny,0.9966317286471573,128,PRUNED
83,83,157.9,2023-02-16 15:34:21.167894,2023-02-16 15:34:25.885598,0 days 00:00:04.717704,tanh,8,0.0020303543736324655,0.01594658559027682,1.0436624239214511,tiny,0.9979696456263676,256,PRUNED
84,84,97.7,2023-02-16 15:34:25.885841,2023-02-16 15:34:30.635013,0 days 00:00:04.749172,tanh,7,0.0026074253274165388,0.005510534255904711,1.5928454117049935,tiny,0.9973925746725835,128,PRUNED
85,85,304.5,2023-02-16 15:34:30.635257,2023-02-16 15:34:35.676210,0 days 00:00:05.040953,tanh,6,0.004149300684645852,0.007845368283246733,1.4530608765111381,tiny,0.9958506993153542,64,PRUNED
86,86,476.0,2023-02-16 15:34:35.676457,2023-02-16 15:34:40.685064,0 days 00:00:05.008607,tanh,7,0.001091458387187524,0.0118036349969749,0.7848478336367049,tiny,0.9989085416128125,128,PRUNED
87,87,440.1,2023-02-16 15:34:40.685330,2023-02-16 15:34:45.516865,0 days 00:00:04.831535,tanh,10,0.001485974281739217,0.01822095756321745,1.768887475874112,tiny,0.9985140257182608,1024,PRUNED
88,88,455.1,2023-02-16 15:34:45.517107,2023-02-16 15:34:50.792508,0 days 00:00:05.275401,tanh,8,0.0019318866279311338,0.001512325592539458,1.2106408576415777,small,0.9980681133720689,256,PRUNED
89,89,320.6,2023-02-16 15:34:50.792760,2023-02-16 15:34:55.880923,0 days 00:00:05.088163,tanh,6,0.0030310960567450293,0.005904293167333553,2.3367687608623386,tiny,0.996968903943255,64,PRUNED
90,90,484.0,2023-02-16 15:34:55.881165,2023-02-16 15:35:05.727096,0 days 00:00:09.845931,relu,9,0.0023189721672601284,0.002672702292026854,0.9233534298992682,tiny,0.9976810278327398,512,COMPLETE
91,91,136.6,2023-02-16 15:35:05.727427,2023-02-16 15:35:10.280564,0 days 00:00:04.553137,tanh,10,0.003902845378327188,0.007509123555857134,1.1666641405393214,tiny,0.9960971546216728,1024,PRUNED
92,92,147.8,2023-02-16 15:35:10.280808,2023-02-16 15:35:14.912158,0 days 00:00:04.631350,tanh,10,0.0034701926443150544,0.004360543826739641,1.1569262796299546,tiny,0.996529807355685,1024,PRUNED
93,93,135.0,2023-02-16 15:35:14.912400,2023-02-16 15:35:19.567892,0 days 00:00:04.655492,tanh,10,0.002783213248945315,0.014151590866502667,1.0464191371588758,tiny,0.9972167867510547,1024,PRUNED
94,94,157.6,2023-02-16 15:35:19.568131,2023-02-16 15:35:25.517495,0 days 00:00:05.949364,tanh,4,0.0016463878018048315,0.008779436562335142,1.3391705901024402,tiny,0.9983536121981952,16,PRUNED
95,95,408.0,2023-02-16 15:35:25.517738,2023-02-16 15:35:30.337768,0 days 00:00:04.820030,tanh,10,0.0048517548237926545,0.0067058995181522064,0.9897932484515372,tiny,0.9951482451762074,1024,PRUNED
96,96,83.3,2023-02-16 15:35:30.338009,2023-02-16 15:35:34.941716,0 days 00:00:04.603707,tanh,10,0.004022765373717174,0.026801057144241257,1.2684718638593164,tiny,0.9959772346262828,1024,PRUNED
97,97,427.0,2023-02-16 15:35:34.941960,2023-02-16 15:35:39.817298,0 days 00:00:04.875338,tanh,9,0.00756754587990431,0.0031644509131838606,0.8542535778098008,tiny,0.9924324541200957,512,PRUNED
98,98,69.4,2023-02-16 15:35:39.817539,2023-02-16 15:35:44.438674,0 days 00:00:04.621135,tanh,10,0.0032502455034056315,0.012127289919017724,1.1158317520696501,tiny,0.9967497544965944,1024,PRUNED
99,99,178.0,2023-02-16 15:35:44.438918,2023-02-16 15:35:49.086206,0 days 00:00:04.647288,tanh,9,0.002269705539454981,0.005623483570386979,0.9658426474304599,tiny,0.9977302944605451,512,PRUNED
